Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,Ranking,0.9>rho>0.101,Internationality(0.9>rho>0.101)
Yale University,139,38,2698,1122,0.4474134631,0.5841363973,8,0.10216853746952759,0.5689507708028098
Brown University,113,32,2381,1027,0.4878838931,0.5686686266,53,0.10123766959242197,0.5600815247540607
Boston University,135,37,4170,1740,0.49063601869999995,0.5827338129,61,0.10137772201044906,0.5728718732358107
University of Groningen,108,31,1901,308,0.49084515310000004,0.8379800104999999,73,0.10119926937004653,0.7953576107004302
Humboldt University of Berlin,113,29,2930,697,0.5908436531,0.762116041,74,0.10125495552532193,0.7431792756035882
Emory University,62,15,1542,678,0.5554567900999999,0.560311284,80,0.10290706314443743,0.5598241277563861
University of Freiburg,107,24,2428,656,0.4646057237,0.7298187809000001,86,0.10115866993157785,0.6982328999987998
University of Zurich,92,40,1652,220,0.5716947328,0.8668280872,90,0.10144758441798418,0.8321387466305479
Eberhard Karls University of Tubingen,95,40,281,110,0.5074962699000001,0.6085409253,91,0.10108111586769608,0.5976802547764488
University of Basel,36,19,522,103,0.4037449775,0.8026819923,94,0.10152287569916041,0.7509647149874114
Dartmouth College,77,17,1552,483,0.4722488996,0.6887886598,94,0.1015028979366559,0.6637036343693049
University of Helsinki,115,52,2778,356,0.5642211965,0.871850252,96,0.10112862939064526,0.8354347935647378
Georgetown University,22,3,212,96,0.5377777778,0.5471698113,102,0.10110237492588336,0.5462240181584564
Uppsala University,102,38,5070,379,0.484691615,0.9252465483,102,0.10142556675227676,0.8689454711924737
Queen Mary University London,85,38,3018,462,0.46719743700000005,0.8469184891,110,0.10159371112834681,0.7992797908553285
University of Birmingham,145,53,4034,712,0.5684712516,0.8235002479000001,112,0.10178769043239844,0.7940332906935483
University of Bern,63,19,1922,290,0.4775185428,0.8491155047,113,0.10103035925934001,0.8028108081235815
Case Western Reserve University,72,11,1268,566,0.4958996212,0.5536277603,119,0.10107730241922108,0.547594822543741
University of Gottingen,64,25,1491,365,0.3608238379,0.7551978537999999,125,0.10146552790915864,0.703144441587781
Maastricht University,47,19,958,140,0.5157405860000001,0.8538622129000001,127,0.10142621030266774,0.8128102426635372
Radboud University Nijmegen,104,37,1842,342,0.42329532659999997,0.8143322476,128,0.10102423630862645,0.7642162864253785
University of Western Australia,98,38,2636,460,0.40955964170000003,0.8254931715,131,0.10126983014127278,0.7713081272638457
Durham University,91,48,2282,548,0.5371087992,0.7598597720999999,133,0.10166737447602181,0.734350248875228
University of Vienna,98,54,1483,257,0.5835490372,0.8267026298000001,134,0.10113482850033584,0.7988397734982754
University of Cape Town,45,15,582,95,0.4701238462,0.8367697595,136,0.10114883363325888,0.7910675693558697
Tufts University,57,12,1055,376,0.3145422354,0.6436018957,139,0.1020442187733076,0.6005180173614232
Ulm University,62,23,804,221,0.4455561717,0.7251243781000001,141,0.10125859009650195,0.691392637079754
University of Geneva,91,29,2941,300,0.38349147009999995,0.8979938796,144,0.10120561478448786,0.8274104598726513
University of Exeter,47,12,1179,263,0.4255073871,0.7769296014,146,0.10129226115476109,0.7327236570103022
University of Sussex,55,21,873,137,0.5006676309,0.8430698740000001,146,0.10192694987761053,0.8012452924150993
University of Hamburg,80,24,1387,327,0.4589029431,0.7642393654999999,149,0.10142717424388237,0.7270882854155908
University of Mannheim,27,8,228,52,0.5244270833,0.7719298245999999,157,0.10121894186208069,0.743157929392788
University of Wurzburg,72,25,1364,407,0.2612172147,0.7016129031999999,163,0.1017532950161939,0.6383780800800448
Trinity College Dublin,89,31,1122,128,0.49730607229999996,0.8859180036,164,0.10163429203986807,0.8374685755484401
University of Bielefeld,81,28,1168,267,0.4525512614,0.7457191781,166,0.10115186701938661,0.7101843252305097
University of Leicester,54,19,817,187,0.5012996778000001,0.7711138311,166,0.10132842607666093,0.7392296399536145
University of Aberdeen,65,29,817,187,0.5473674968,0.7711138311,168,0.10107348802210192,0.7455287897997158
University of Alabama Birmingham,58,15,1075,417,0.2899114386,0.6120930232999999,172,0.10116780050992943,0.5694352935330912
University of Rochester,80,22,1820,561,0.3727200255,0.6917582418000001,173,0.10103019900789878,0.6513880769876254
Stockholm University,36,8,4021,243,0.39546296299999995,0.9395672718000001,175,0.10117070307186593,0.8645541019668864
University of California Santa Cruz,95,26,2274,990,0.5387255164,0.6365638767,179,0.10243661390095582,0.6261091391338277
University of Gothenburg,81,17,827,83,0.6153211285,0.8996372429999999,186,0.10126211758275261,0.8666694546221653
University of Munster,77,20,2025,348,0.47998285890000003,0.8281481481,189,0.10111116257174116,0.785234029673328
University of East Anglia,37,12,863,175,0.46093694890000003,0.7972190035,192,0.10113824261255222,0.7557334067273632
University of Canberra,19,2,316,71,0.3229166667,0.7753164557,193,0.10117762125692287,0.7127245103049274
University of Duisburg Essen,78,29,1977,360,0.4032655867,0.8179059181,194,0.10136486917813214,0.763772500767207
University of Witwatersrand,63,3,121,17,0.44444444439999997,0.8595041322,194,0.10113736268424156,0.8062125163280797
George Washington University,80,18,2554,847,0.3670486111,0.6683633515999999,198,0.1011697172188255,0.6304963206453729
University of Lausanne,38,11,688,140,0.5781691918999999,0.7965116279000001,198,0.10134658011736641,0.7717558753885073
University of St Andrews,36,18,819,136,0.41331307869999995,0.8339438339,198,0.10106167528647036,0.779123006785486
University of Peradeniya,3,3,35,4,0.5555555555555555,0.8857142856999999,401-500,0.10104240977669765,0.8461771098142389
Karabuk University,16,3,160,39,0.4305555555555555,0.75625,401-500,0.10105754377381049,0.7158450116016727
Suez University,2,0,25,10,0.01,0.6,501-600,0.10144853636988671,0.42668904182153145
Keele University,18,13,331,54,0.6855049712192568,0.8368580059999999,501-600,0.101190606163618,0.8204761169211776
University of Tunku Abdul Rahman,20,8,669,90,0.409375,0.8654708520000001,501-600,0.10196032888316053,0.8050700180456039
University of Ibadan,1,0,0,0,0.01,0.0,501-600,0.10199452821883381,1.5687454262962374e-12
Creighton University,15,1,46,21,0.07396449704142012,0.5434782609000001,601-800,0.10186924542574416,0.4529692904515054
University of Sharjah,21,8,192,52,0.7291666666666666,0.7291666667,601-800,0.11456099000243065,0.729166666696666
University of Malaysia Perlis,25,4,238,45,0.3790391156462585,0.8109243697,601-800,0.10103153283194703,0.7534763880755309
King Khalid University,11,4,127,50,0.3333333333333333,0.6062992126,601-800,0.10117692833220038,0.5720085248731933
Imam Khomeini International University,8,1,82,13,0.4,0.8414634146,601-800,0.10181787458697458,0.7830982192178014
Mae Fah Luang University,3,2,70,5,0.75,0.9285714286,601-800,0.10121781111887485,0.9091376065953675
Jamia Millia Islamia,11,3,75,31,0.35375,0.5866666667,601-800,0.10212324511674709,0.5583746136387102
Beni Suef University,8,2,122,65,0.8333333333333333,0.46721311479999994,601-800,0.10122027994436156,0.4958133195056091
Kafrelsheikh University,2,0,20,9,0.01,0.55,601-800,0.10116228004535144,0.39340843596427594
Tezpur University,20,4,373,160,0.6614583333333333,0.5710455764,801-1000,0.10260927378448817,0.5795587115282829
Szeged University,29,12,321,86,0.4822569444444445,0.7320872274,801-1000,0.10116615203708279,0.7027082234979396
Eastern Mediterranean University,20,5,176,49,0.75625,0.7215909091,801-1000,0.10153514934995322,0.7249914075538026
Tshwane University of Technology,10,1,228,13,0.1,0.9429824561,801-1000,0.10129048102435054,0.7699029040024061
Benha University,14,2,122,26,0.65625,0.7868852459000001,801-1000,0.10112101048648703,0.7728442969488087
University of Baghdad,8,2,341,15,0.4733333333333333,0.9560117302,801-1000,0.10151058183779393,0.8930905553935617
Hanoi University of Science & Technology,15,10,160,8,0.6833472222222222,0.95,801-1000,0.10157051752633317,0.9196634670772422
University of Puerto Rico,16,10,668,161,0.4413125,0.7589820359,801-1000,0.10146990509916665,0.7198757041560047
Atilim University,31,6,416,85,0.6388888888888891,0.7956730769,801-1000,0.1023048077084372,0.7785731971123232
Universite de Bejaia,12,6,121,0,0.4282407407407407,1.0,801-1000,0.10157524728320622,0.921646002691519
